state,gt,elevation,lst,ndvi,rh,soil_moisture,wind_speed
Meghalaya,GridData/Meghalaya/Meghalaya_Y_Precipitation_GT_geotif.tif,GridData/Meghalaya/Meghalaya_X_Elevation_masked.tif,GridData/Meghalaya/Meghalaya_X_LST_masked.tif,GridData/Meghalaya/Meghalaya_X_NDVI_masked.tif,GridData/Meghalaya/Meghalaya_X_Relative_Humidity_masked.tif,GridData/Meghalaya/Meghalaya_X_Soil_Moisture_masked.tif,GridData/Meghalaya/Meghalaya_X_Wind_Speed_masked.tif
Mizoram,GridData/Mizoram/Mizoram_Y_Precipitation_GT_geotif.tif,GridData/Mizoram/Mizoram_X_Elevation_masked.tif,GridData/Mizoram/Mizoram_X_LST_masked.tif,GridData/Mizoram/Mizoram_X_NDVI_masked.tif,GridData/Mizoram/Mizoram_X_Relative_Humidity_masked.tif,GridData/Mizoram/Mizoram_X_Soil_Moisture_masked.tif,GridData/Mizoram/Mizoram_X_Wind_Speed_masked.tif
Nagaland,GridData/Nagaland/Nagaland_Y_Precipitation_GT_geotif.tif,GridData/Nagaland/Nagaland_X_Elevation_masked.tif,GridData/Nagaland/Nagaland_X_LST_masked.tif,GridData/Nagaland/Nagaland_X_NDVI_masked.tif,GridData/Nagaland/Nagaland_X_Relative_Humidity_masked.tif,GridData/Nagaland/Nagaland_X_Soil_Moisture_masked.tif,GridData/Nagaland/Nagaland_X_Wind_Speed_masked.tif
Punjab,GridData/Punjab/Punjab_Y_Precipitation_GT_geotif.tif,GridData/Punjab/Punjab_X_Elevation_masked.tif,GridData/Punjab/Punjab_X_LST_masked.tif,GridData/Punjab/Punjab_X_NDVI_masked.tif,GridData/Punjab/Punjab_X_Relative_Humidity_masked.tif,GridData/Punjab/Punjab_X_Soil_Moisture_masked.tif,GridData/Punjab/Punjab_X_Wind_Speed_masked.tif
Sikkim,GridData/Sikkim/Sikkim_Y_Precipitation_GT_geotif.tif,GridData/Sikkim/Sikkim_X_Elevation_masked.tif,GridData/Sikkim/Sikkim_X_LST_masked.tif,GridData/Sikkim/Sikkim_X_NDVI_masked.tif,GridData/Sikkim/Sikkim_X_Relative_Humidity_masked.tif,GridData/Sikkim/Sikkim_X_Soil_Moisture_masked.tif,GridData/Sikkim/Sikkim_X_Wind_Speed_masked.tif
Tamil Nadu,GridData/Tamil Nadu/Tamil Nadu_Y_Precipitation_GT_geotif.tif,GridData/Tamil Nadu/Tamil Nadu_X_Elevation_masked.tif,GridData/Tamil Nadu/Tamil Nadu_X_LST_masked.tif,GridData/Tamil Nadu/Tamil Nadu_X_NDVI_masked.tif,GridData/Tamil Nadu/Tamil Nadu_X_Relative_Humidity_masked.tif,GridData/Tamil Nadu/Tamil Nadu_X_Soil_Moisture_masked.tif,GridData/Tamil Nadu/Tamil Nadu_X_Wind_Speed_masked.tif
Tripura,GridData/Tripura/Tripura_Y_Precipitation_GT_geotif.tif,GridData/Tripura/Tripura_X_Elevation_masked.tif,GridData/Tripura/Tripura_X_LST_masked.tif,GridData/Tripura/Tripura_X_NDVI_masked.tif,GridData/Tripura/Tripura_X_Relative_Humidity_masked.tif,GridData/Tripura/Tripura_X_Soil_Moisture_masked.tif,GridData/Tripura/Tripura_X_Wind_Speed_masked.tif
Uttar Pradesh,GridData/Uttar Pradesh/Uttar Pradesh_Y_Precipitation_GT_geotif.tif,GridData/Uttar Pradesh/Uttar Pradesh_X_Elevation_masked.tif,GridData/Uttar Pradesh/Uttar Pradesh_X_LST_masked.tif,GridData/Uttar Pradesh/Uttar Pradesh_X_NDVI_masked.tif,GridData/Uttar Pradesh/Uttar Pradesh_X_Relative_Humidity_masked.tif,GridData/Uttar Pradesh/Uttar Pradesh_X_Soil_Moisture_masked.tif,GridData/Uttar Pradesh/Uttar Pradesh_X_Wind_Speed_masked.tif
Uttarakhand,GridData/Uttarakhand/Uttarakhand_Y_Precipitation_GT_geotif.tif,GridData/Uttarakhand/Uttarakhand_X_Elevation_masked.tif,GridData/Uttarakhand/Uttarakhand_X_LST_masked.tif,GridData/Uttarakhand/Uttarakhand_X_NDVI_masked.tif,GridData/Uttarakhand/Uttarakhand_X_Relative_Humidity_masked.tif,GridData/Uttarakhand/Uttarakhand_X_Soil_Moisture_masked.tif,GridData/Uttarakhand/Uttarakhand_X_Wind_Speed_masked.tif
West Bengal,GridData/West Bengal/West Bengal_Y_Precipitation_GT_geotif.tif,GridData/West Bengal/West Bengal_X_Elevation_masked.tif,GridData/West Bengal/West Bengal_X_LST_masked.tif,GridData/West Bengal/West Bengal_X_NDVI_masked.tif,GridData/West Bengal/West Bengal_X_Relative_Humidity_masked.tif,GridData/West Bengal/West Bengal_X_Soil_Moisture_masked.tif,GridData/West Bengal/West Bengal_X_Wind_Speed_masked.tif
